YY1,WGT,INCOME,WAGEINC,NORMINC,IRAKH,THRIFT,RETQLIQ,EDN_INST,DEBT,NETWORTH,ASSET,FIN,CCBAL,DCPLANCJ,AGE,AGECL,HHSEX,MARRIED,KIDS,EDUC,EDCL,RACECL4,LF,HRETQLIQ,ANYPEN,DBPLANCJ,HEDN_INST,NWCAT,INCCAT,has_student_debt,has_ira,has_retirement,age_group,educ_group,race_group,income_group,nw_group,is_married,is_female,in_labor_force,debt_to_income
64,2550.4853155,237800.6012,216182.36472999997,189159.56914,34000.0,15000.0,49000.0,0.0,327250.0,487350.0,814600.0,63000.0,3000.0,1.0,37,2,1,1,0,12,4,1,1,1,1,0,0,3,5,0,1,1,35-44,College degree+,White non-Hispanic,80-89.9%,50-74.9%,1,0,1,0.0
65,13669.403790600001,102686.62325,102686.62325,102686.62325,0.0,0.0,0.0,22000.0,230100.0,108160.0,338260.0,15500.0,100.0,0.0,35,2,1,1,2,13,4,1,1,0,1,1,1,2,4,1,0,0,35-44,College degree+,White non-Hispanic,60-79.9%,25-49.9%,1,0,1,0.21424406902970197
66,9747.2573682,404261.02204,264823.39679,404261.02204,50700.0,0.0,50700.0,143680.0,1035738.0,1458262.0,2494000.0,474200.0,0.0,0.0,33,1,1,1,0,12,4,1,1,1,1,1,1,4,6,1,1,1,18-34,College degree+,White non-Hispanic,Top 10%,75-89.9%,1,0,1,0.355413933490188
67,15736.887563,27022.795590999995,0.0,27022.795590999995,0.0,0.0,0.0,0.0,0.0,61000.0,61000.0,30000.0,0.0,0.0,90,6,1,2,0,4,1,1,0,0,1,1,0,2,1,0,0,0,75+,No HS diploma,White non-Hispanic,Bottom 20%,25-49.9%,0,0,0,0.0
68,8971.622391,19456.4128254,0.0,19456.4128254,0.0,0.0,0.0,0.0,0.0,14200.0,14200.0,0.0,0.0,0.0,74,5,2,2,0,13,4,2,0,0,1,1,0,1,1,0,0,0,65-74,College degree+,Black/African-American,Bottom 20%,Bottom 25%,0,1,0,0.0
69,9318.52578358,68745.99198379999,54694.1382766,68745.99198379999,0.0,48000.0,48000.0,0.0,34800.0,120254.0,155054.0,91494.0,0.0,1.0,44,2,1,1,0,9,3,1,1,1,1,0,0,2,3,0,0,1,35-44,Some college,White non-Hispanic,40-59.9%,25-49.9%,1,0,1,0.0
70,12812.8772226,118251.75350800001,121926.853706,153273.296592,0.0,0.0,0.0,0.0,129400.0,274522.0,403922.0,4202.0,6000.0,0.0,37,2,1,1,3,10,3,1,1,0,0,0,0,3,4,0,0,0,35-44,Some college,White non-Hispanic,60-79.9%,50-74.9%,1,0,1,0.0
71,7830.6248796,196942.13426599998,0.0,259418.83767999997,25000.0,0.0,25000.0,0.0,180400.0,1359800.0,1540200.0,384000.0,0.0,0.0,63,4,1,2,0,14,4,1,1,1,0,0,0,4,5,0,1,1,55-64,College degree+,White non-Hispanic,80-89.9%,75-89.9%,0,0,1,0.0
72,1477.73258906,23996.2424848,0.0,19456.412826,0.0,0.0,0.0,0.0,0.0,300.0,300.0,300.0,0.0,0.0,58,4,2,2,0,6,1,4,0,0,0,0,0,1,1,0,0,0,55-64,No HS diploma,Other,Bottom 20%,Bottom 25%,0,1,0,0.0
73,14265.8761988,148517.284568,149165.83166199998,148517.284568,51000.0,64740.0,115740.0,0.0,255600.0,429998.0,685598.0,145798.0,0.0,1.0,38,2,1,1,0,12,4,2,1,1,1,1,0,3,4,0,1,1,35-44,College degree+,Black/African-American,60-79.9%,50-74.9%,1,0,1,0.0
74,11288.089608,36967.1843686,0.0,36967.1843686,100000.0,0.0,100000.0,0.0,0.0,577800.0,577800.0,321800.0,0.0,0.0,80,6,2,2,0,9,3,1,0,1,0,0,0,3,2,0,1,1,75+,Some college,White non-Hispanic,20-39.9%,50-74.9%,0,1,0,0.0
75,50.7325334552,5646683.36674,0.0,3465403.3065800006,2196000.0,0.0,2196000.0,0.0,12072000.0,134866200.0,146938200.0,113207600.0,0.0,0.0,71,5,1,1,0,12,4,1,1,1,0,0,0,5,6,0,1,1,65-74,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,1,0.0
76,8916.4121644,35670.090180399995,35453.9078156,35670.090180399995,0.0,0.0,0.0,0.0,0.0,132.0,132.0,132.0,0.0,0.0,55,4,2,2,0,8,2,1,1,0,0,0,0,1,2,0,0,0,55-64,HS diploma/GED,White non-Hispanic,20-39.9%,Bottom 25%,0,1,1,0.0
77,1571.69018638,72421.092184,52964.679359,68097.44489,0.0,210000.0,210000.0,0.0,10500.0,225570.0,236070.0,219070.0,500.0,1.0,51,3,1,2,0,8,2,3,1,1,1,0,0,3,3,0,0,1,45-54,HS diploma/GED,Hispanic,40-59.9%,50-74.9%,0,0,1,0.0
78,15075.0156174,86472.945892,86472.945892,86472.945892,7000.0,120000.0,127000.0,0.0,121000.0,329120.0,450120.0,157400.0,4000.0,1.0,47,3,1,1,1,8,2,1,1,1,1,0,0,3,3,0,1,1,45-54,HS diploma/GED,White non-Hispanic,40-59.9%,50-74.9%,1,0,1,0.0
79,6785.349349419999,65287.0741482,24428.6072146,65287.0741482,285000.0,0.0,285000.0,0.0,215400.0,904540.0,1119940.0,708140.0,4700.0,0.0,73,5,2,2,0,12,4,1,1,1,0,0,0,4,3,0,1,1,65-74,College degree+,White non-Hispanic,40-59.9%,75-89.9%,0,1,1,0.0
80,15762.387296199999,38912.8256514,0.0,38912.8256514,0.0,0.0,0.0,0.0,0.0,110646.0,110646.0,38946.0,0.0,0.0,72,5,1,1,0,9,3,1,0,0,1,1,0,2,2,0,0,0,65-74,Some college,White non-Hispanic,20-39.9%,25-49.9%,1,0,0,0.0
81,938.759223576,612012.274546,0.0,612012.274546,692000.0,1600000.0,2292000.0,0.0,500400.0,7575000.0,8075400.0,2833000.0,0.0,1.0,55,4,1,2,0,12,4,1,1,1,1,0,0,5,6,0,1,1,55-64,College degree+,White non-Hispanic,Top 10%,Top 10%,0,0,1,0.0
82,1755.5007329799998,30265.531062000002,0.0,75663.827655,0.0,0.0,80000.0,80000.0,105000.0,-19820.0,85180.0,80700.0,25000.0,0.0,55,4,1,2,0,13,4,2,1,1,1,0,1,1,1,1,0,1,55-64,College degree+,Black/African-American,Bottom 20%,Bottom 25%,0,0,1,2.6432709816364097
83,3073.52519104,62260.5210424,62476.70340720001,62260.5210424,0.0,0.0,0.0,0.0,27440.0,318560.0,346000.0,4000.0,420.0,0.0,38,2,1,1,2,12,4,2,1,0,0,0,0,3,3,0,0,0,35-44,College degree+,Black/African-American,40-59.9%,50-74.9%,1,0,1,0.0
